book_id,title,price_gbp,price_inr,rating,in_stock
123,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,6299.4,3,1
26,Boar Island (Anna Pigeon #19),59.48,6275.14,3,1
64,Candide,58.63,6185.46,3,1
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,1
45,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,6051.48,5,1
54,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,6050.42,5,1
65,Animal Farm,57.22,6036.71,3,1
8,A Year in Provence (Provence #1),56.88,6000.84,4,1
14,The Past Never Ends,56.5,5960.75,4,1
48,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,5898.5,1,1
